,Absorbance Spectrum,Absorbance Spectrum,,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum
Wavenumber cm-1,,,,,,,,,,,,,
,Lumilog_GaN_substrate 20degC,Lumilog_GaN_substrate_80degC,LUMILOG_GaN_substrate_-160degC,B120504_InGaN_20degC,B120504_InGaN_80degC,B120504_InGaN_20degC_Vak,B120504_InGaN_-160degC_Vak,J130828_10nm_M16_InGaN_20degC_Vak,J130828_10nm_M16_InGaN_-160degC_Vak,J130828_10nm_M16_InGaN_90degC,J140228_3nm_InGaN_20degC,J140228_3nm_InGaN_90degC,J140228_3nm_InGaN_-160degC
7959.830941,0.486668527,0.53117162,1.324771285,0.415438116,0.451884419,0.477563471,0.578770459,0.742771327,0.765562594,0.72263968,0.88856101,0.86735636,0.971148789
7959.348761,0.495052725,0.53249836,1.344439268,0.411416858,0.433007121,0.504301131,0.569028437,0.745046556,0.75694263,0.720876396,0.887660027,0.877706766,0.973777294
7958.866581,0.498134881,0.518052638,1.340690732,0.397312164,0.413050056,0.519514561,0.557205975,0.746758342,0.752368748,0.720750093,0.895657182,0.892325044,0.97671026
7958.384401,0.495943993,0.495761275,1.321419358,0.381227314,0.390218824,0.498255253,0.552727163,0.743812501,0.750360191,0.722345114,0.911109984,0.902519703,0.97402668
7957.90222,0.492914438,0.491384149,1.306338549,0.378641367,0.376220435,0.487247109,0.550919831,0.738764822,0.749461889,0.722125471,0.925978601,0.900946379,0.971407533
7957.42004,0.488660634,0.520670593,1.302405357,0.390017003,0.385049433,0.51178509,0.555820465,0.739235818,0.750890493,0.719541311,0.928793252,0.892801881,0.974559486
7956.93786,0.488689274,0.553116977,1.313149214,0.395491838,0.403236568,0.534027159,0.577695191,0.746155202,0.756394267,0.715862453,0.915745735,0.888626695,0.971597254
7956.45568,0.495467693,0.555834174,1.32945168,0.386264652,0.409232199,0.528121591,0.59487009,0.754282892,0.765061617,0.715604961,0.900689781,0.889988244,0.962249458
7955.9735,0.506587565,0.535600245,1.334161997,0.383332461,0.411197633,0.506448269,0.585313737,0.754533708,0.771976173,0.719224811,0.891093016,0.892177522,0.961384177
7955.491319,0.518284082,0.513166904,1.324683666,0.394592047,0.422945231,0.486671686,0.567520857,0.744345665,0.770346344,0.717308581,0.88656652,0.88880688,0.971430779
7955.009139,0.519641459,0.496985525,1.314943433,0.394474894,0.427275062,0.486474454,0.557296395,0.734732032,0.760969877,0.707778811,0.890289903,0.881255031,0.979211569
7954.526959,0.506040692,0.488519937,1.318270683,0.384262681,0.416343778,0.505591571,0.551163077,0.734784126,0.751213491,0.703388214,0.894541979,0.880769193,0.975891292
7954.044779,0.496882141,0.498718202,1.325897932,0.386095345,0.407109797,0.523050487,0.549145699,0.744511902,0.748651803,0.710013151,0.888471186,0.891523838,0.970807731
7953.562599,0.508512199,0.531110227,1.31930089,0.390897691,0.404956728,0.523715854,0.549124777,0.75699985,0.755730987,0.716084659,0.881035149,0.900618076,0.970669925
7953.080418,0.519738138,0.553131819,1.30774951,0.388158798,0.407255352,0.507720828,0.55107075,0.761288226,0.759956837,0.712601483,0.885393322,0.897781432,0.968257427
7952.598238,0.504771173,0.531910837,1.316423774,0.382945895,0.406241357,0.490801752,0.55613631,0.757343054,0.753868699,0.707575023,0.896294236,0.892660379,0.962331474
7952.116058,0.483225465,0.490507931,1.338524222,0.380428582,0.400942624,0.48583433,0.561488211,0.754242122,0.751319587,0.708721995,0.901615262,0.894800663,0.965149403
7951.633878,0.478353679,0.459777594,1.340839624,0.378308415,0.399989307,0.483384132,0.565863371,0.752056718,0.759707749,0.712009311,0.903133452,0.896325588,0.980722487
7951.151697,0.482184768,0.449584693,1.313319325,0.373144567,0.393955737,0.478948265,0.564278603,0.746911526,0.771428406,0.713777661,0.910756886,0.888892233,0.990541458
7950.669517,0.488161147,0.469275773,1.27147758,0.38653633,0.384791523,0.487832308,0.563265085,0.742664278,0.775812685,0.716047645,0.922810972,0.881431639,0.983028471
7950.187337,0.500011921,0.502569258,1.246542931,0.425092608,0.391660571,0.503700137,0.57354641,0.74221468,0.767448127,0.720279038,0.924638748,0.882221699,0.972978771
7949.705157,0.512667239,0.522619128,1.262825489,0.449873328,0.411031961,0.502412617,0.583812714,0.742082715,0.755270422,0.725682855,0.911959112,0.885837257,0.974505663
7949.222977,0.522682786,0.532360733,1.298811078,0.447115362,0.430632889,0.498871088,0.590192556,0.741090119,0.751363873,0.727724135,0.898098528,0.890536249,0.978882313
7948.740796,0.535766482,0.526148558,1.315352678,0.438393712,0.435919404,0.513452291,0.599274218,0.741127133,0.756189466,0.723183811,0.893812418,0.898218989,0.96590066
7948.258616,0.541078985,0.494279981,1.314133525,0.426936656,0.420315087,0.527924299,0.599779606,0.742332578,0.762923837,0.717192471,0.898239076,0.899761975,0.944871962
7947.776436,0.521339774,0.462363392,1.319114089,0.40567854,0.401737481,0.529327691,0.577236176,0.74524492,0.768728197,0.715724826,0.903598249,0.891171813,0.94060123
7947.294256,0.49367407,0.461545289,1.339515567,0.386777937,0.390484989,0.534377754,0.544374943,0.750070453,0.773941576,0.718769491,0.904480517,0.886302352,0.946174085
7946.812076,0.482543826,0.488054901,1.360019445,0.3854357,0.382908344,0.542596996,0.532079697,0.753414512,0.774977684,0.721190929,0.907770395,0.89224124,0.944639325
7946.329895,0.488054305,0.51067394,1.355937839,0.3959589,0.384743214,0.530019879,0.548967898,0.75208962,0.771035671,0.719797254,0.91750735,0.899428368,0.943035483
7945.847715,0.499848276,0.512514412,1.337733507,0.408795118,0.399560809,0.501045585,0.571519375,0.746647358,0.765940368,0.719082952,0.916865468,0.902845442,0.951214433
7945.365535,0.50317657,0.503402412,1.336287856,0.4118357,0.411580384,0.481673986,0.57698673,0.740695655,0.760305703,0.723827004,0.903286934,0.906358719,0.964795589
7944.883355,0.494804978,0.493490815,1.343875647,0.39352423,0.406983644,0.480806947,0.569345891,0.738888085,0.75723815,0.729723155,0.899850249,0.910283208,0.971474886
7944.401175,0.489059895,0.487515241,1.335991383,0.377600759,0.395328939,0.493653774,0.562039614,0.74056977,0.760898173,0.726633906,0.906300604,0.914227962,0.964628637
7943.918994,0.485077113,0.487815499,1.314942718,0.385409445,0.385763496,0.505610228,0.560084403,0.739409626,0.764845848,0.717792034,0.904798925,0.91827625,0.960508823
7943.436814,0.475608826,0.487084746,1.302721858,0.394284785,0.376009434,0.505554855,0.558069885,0.734588206,0.761510134,0.71839118,0.901353955,0.916606605,0.973459005
7942.954634,0.473016143,0.480128527,1.30320859,0.391624302,0.370586902,0.502480865,0.546337485,0.731872141,0.755165339,0.727757692,0.906161189,0.901594818,0.982271314
7942.472454,0.478879213,0.478263497,1.309990525,0.392708093,0.378570884,0.501752317,0.533957183,0.732665718,0.755788147,0.733466804,0.903245091,0.878355801,0.969976068
7941.990273,0.480722487,0.490290374,1.32152319,0.398161024,0.392724842,0.50233829,0.542732835,0.733636379,0.76512295,0.734278142,0.884040773,0.864492834,0.958547115
7941.508093,0.483114272,0.506194353,1.334627151,0.403989017,0.397080809,0.514104426,0.563843071,0.735028803,0.774255455,0.732369184,0.868368626,0.865825355,0.960714102
7941.025913,0.492642522,0.506781101,1.344693303,0.413448244,0.397894144,0.535006106,0.564876378,0.74034512,0.779599547,0.727148354,0.869225383,0.873803139,0.966814578
7940.543733,0.50269109,0.491949856,1.344982982,0.423116088,0.407017469,0.54245621,0.554872215,0.748830438,0.783763826,0.724184752,0.886493683,0.886590958,0.971203446
7940.061553,0.507653713,0.489555508,1.333101034,0.426032871,0.415941536,0.530441761,0.571587622,0.753499568,0.78222996,0.726687074,0.915093005,0.901874244,0.970339417
7939.579372,0.507390499,0.509115875,1.319812894,0.419602364,0.41337651,0.514711857,0.60084343,0.751259923,0.771740615,0.728510559,0.936731279,0.904799461,0.966582477
7939.097192,0.503168344,0.524979889,1.310195446,0.408390552,0.40375495,0.504566431,0.605186105,0.748813391,0.760565341,0.726983309,0.933368862,0.891704023,0.965299249
7938.615012,0.497584015,0.516935885,1.299547076,0.399930477,0.402043492,0.50075537,0.597260892,0.749926507,0.757082224,0.725446939,0.913964987,0.881202281,0.963063598
7938.132832,0.492245078,0.495836914,1.296666384,0.398510396,0.413570076,0.500553131,0.593607128,0.750657141,0.759588778,0.722630382,0.899078429,0.88311547,0.961287677
7937.650652,0.488071442,0.482661784,1.311017036,0.408295214,0.425525755,0.496663898,0.581360996,0.749464273,0.76325953,0.717838287,0.892117739,0.887719154,0.964333951
7937.168471,0.483310431,0.480401278,1.33753109,0.425905943,0.423270345,0.481258899,0.561866999,0.7481457,0.765169859,0.716902912,0.888698757,0.889408052,0.970015168
7936.686291,0.475212693,0.477347434,1.371409178,0.43506971,0.412246794,0.463083625,0.553374112,0.747931421,0.763163924,0.722994387,0.891124904,0.892155588,0.9764691
7936.204111,0.470178664,0.468895525,1.39171958,0.427539647,0.411941797,0.460512847,0.562749863,0.749737144,0.757924557,0.731402397,0.900425017,0.894420326,0.977019787
7935.721931,0.480210185,0.466586083,1.367400169,0.413835019,0.421109229,0.475012213,0.581681907,0.752310753,0.750657797,0.733436704,0.908055127,0.89233762,0.966872275
7935.23975,0.504173517,0.483283877,1.316050649,0.408240318,0.4235982,0.497082233,0.602026105,0.751714885,0.743716836,0.728742063,0.903723896,0.89034754,0.960354626
7934.75757,0.525042415,0.50927633,1.276013374,0.415357947,0.422336489,0.514360905,0.618295193,0.748553991,0.741439342,0.725839674,0.892191887,0.892415524,0.964899063
7934.27539,0.52795738,0.522464514,1.255917788,0.425242424,0.419369102,0.521902025,0.614475965,0.749724805,0.743528903,0.727660656,0.88554126,0.893948078,0.963994265
7933.79321,0.510977566,0.525274992,1.252160192,0.425706983,0.406118572,0.53302902,0.586519301,0.755921721,0.746668994,0.731943965,0.888959527,0.892673135,0.954659402
