Wavelength,OD,OD,OD,OD,OD,OD,OD,OD,OD,OD
nm,result_Lumilog_STINS_GaN_on_Sapphire,result_InN_InSaN_10nm_barrier_J130828_1_Messy_16,result_InN_InSaN_3nm_barrier_J140228_Messy_12,result_InN_InGaN_10nm_barrier_Sapphire_edge_J130828,result_InN_InGaN_3nm_barrier_Sapphire_edge_J140228,result_B120504_InGaN_T=1.04um,result_B111205_InN_center,result_B111205_InN(1.4um)_STINS_edge,result_B111205_InN(1.4um)_STINS_center,result_B111205_InN(1.4um)_Sapphire_edge
1146.357,0.390062099,1.123296418,1.784382491,1.119354348,1.737071189,1.730705048,3.209981023,2.845690215,3.338975909,2.677108507
1148.38,0.38999653,1.121663669,1.718702867,1.118068955,1.753068428,1.732065167,3.888896507,3.027613952,3.780649002,2.75638276
1150.403,0.384342878,1.083543877,1.740503265,1.084661488,1.696374591,1.691846583,3.136926967,3.218677606,3.064064767,2.522433699
1152.426,0.383207499,1.08333009,1.680123832,1.083317164,1.716185001,1.704571873,3.729041934,3.204853281,5.01269518,2.73997833
1154.448,0.375392787,1.053795463,1.701055951,1.048572711,1.659022689,1.674603371,2.866456479,2.972060225,3.203532644,2.563502889
1156.469,0.374552265,1.054676642,1.634301602,1.048784691,1.676948641,1.693610099,3.09606513,2.913192357,3.694230077,2.824026894
1158.49,0.365035906,1.016052796,1.641545433,1.015434907,1.613344557,1.65411572,2.857288368,2.858070145,2.929511358,2.569546379
1160.511,0.363330966,1.019904954,1.583297016,1.016927446,1.627593859,1.656006343,3.218732402,2.916078827,3.312236488,2.77988685
1162.531,0.3527464,0.988624534,1.602878515,0.984427253,1.569614277,1.60670382,2.820426986,2.885871174,2.946950322,2.488798275
1164.55,0.35078513,0.988933904,1.556406565,0.982180995,1.58793014,1.618058764,3.025640649,2.919436119,3.559922019,2.614564273
1166.569,0.339859203,0.951929105,1.559768857,0.952510904,1.539902742,1.583224596,2.812385258,2.846420622,2.964550393,2.436681321
1168.588,0.338053038,0.954611846,1.506666243,0.95326699,1.548043611,1.595076393,3.105250276,2.870085454,3.029999324,2.554715639
1170.606,0.329066856,0.929967928,1.520505399,0.93114657,1.493805623,1.549463838,2.805385028,2.719890358,2.756918838,2.375781914
1172.623,0.327671106,0.928837575,1.488941142,0.93036053,1.49537692,1.556189146,3.152281882,2.742333289,2.960614067,2.451590857
1174.64,0.320277157,0.902270698,1.495222584,0.907092842,1.457462874,1.523454102,2.962077043,2.667027095,2.970492344,2.393939596
1176.657,0.319409078,0.902384326,1.446577257,0.906289027,1.464966986,1.534642943,3.509694305,2.808686609,3.440369098,2.529350879
1178.673,0.314652178,0.884527751,1.44725923,0.886507484,1.423422741,1.501037962,3.103714159,2.805865797,3.183146109,2.399192554
1180.688,0.314243938,0.884662583,1.412813546,0.886392765,1.42006766,1.500987175,3.360484209,2.99800995,3.858794762,2.469330978
1182.703,0.312039756,0.864791221,1.409889681,0.86513659,1.381639312,1.467622655,3.173252828,2.846902563,3.211999725,2.366185509
1184.718,0.312019814,0.863898585,1.381342594,0.863305761,1.377991511,1.463565104,3.059541546,2.825371007,3.366327153,2.379681759
1186.732,0.312902996,0.845293141,1.379078779,0.841678946,1.343880405,1.435508813,2.987529136,2.76389537,3.333997171,2.293571693
1188.745,0.313326339,0.843982331,1.354790114,0.837638031,1.334466715,1.429041847,2.862453512,2.797857282,3.155663708,2.271478149
1190.759,0.317092813,0.826809519,1.34700175,0.816335625,1.302588018,1.400757068,2.843012074,2.859729473,2.984391576,2.244550344
1192.771,0.317914402,0.823692992,1.324462902,0.81141341,1.293875452,1.395931939,2.792099467,2.827304601,2.915224863,2.243640659
1194.783,0.32356459,0.803282922,1.325250474,0.789607371,1.270687141,1.369921849,2.89835493,2.789824464,3.108830283,2.227654273
